Municipio,Populacao,macro,regional,lat,lon
IBIRAMA,21425,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.018150479352176,-49.52854434507853
IMBUIA,5988,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.502912858233568,-49.40652574441874
ITUPORANGA,26694,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.45344960217853,-49.53886990331492
JOSÉ BOITEUX,5991,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.85948733686543,-49.64630644716272
LAURENTINO,7524,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.20798229696701,-49.73361403099963
LONTRAS,12913,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.18943445931826,-49.5073088131697
MIRIM DOCE,2502,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.185593229141546,-50.17513587741343
PETROLÂNDIA,6718,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.54574074916576,-49.68272426717698
POUSO REDONDO,17143,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.286165527361565,-49.977272039975205
PRESIDENTE GETÚLIO,21231,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.06258379829857,-49.71442977022528
PRESIDENTE NEREU,2300,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.268252905221093,-49.35495247270836
RIO DO CAMPO,6447,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.8923067208224,-50.13139401795918
RIO DO OESTE,7623,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.158976836165333,-49.84167276904675
RIO DO SUL,70952,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.196050867028838,-49.62995257034289
SALETE,7502,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.96962326284445,-50.01068505920498
SANTA TEREZINHA,8061,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.66760287787676,-50.00529593803346
TAIÓ,18282,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.078455806270693,-50.092434824380845
TROMBUDO CENTRAL,7074,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.312097301154424,-49.81141612505136
VIDAL RAMOS,6160,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.38788245270673,-49.34775257609078
VITOR MEIRELES,5362,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.826433538775674,-49.84520206839082
WITMARSUM,4314,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.937345110004777,-49.84176100206415
APIÚNA,11926,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-27.124502359730972,-49.364244600271256
ASCURRA,8408,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.97363368202941,-49.39596551693794
BENEDITO NOVO,10484,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.80094023363729,-49.43539636534986
BLUMENAU,363340,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.885766673711007,-49.09730924738388
BOTUVERÁ,5368,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-27.218576097272617,-49.12352579900576
BRUSQUE,141676,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-27.125000077860676,-48.90974338759385
DOUTOR PEDRINHO,3670,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.70556725719545,-49.55383878447964
GASPAR,73053,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.931342854989225,-48.96603277755912
GUABIRUBA,24578,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-27.103337763844536,-49.02075045567544
INDAIAL,71369,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.99497938110411,-49.22417768790135
POMERODE,34699,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.728186239159665,-49.17330417894716
RIO DOS CEDROS,10879,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.61792661732718,-49.368384844168055
RODEIO,12715,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.895097082819174,-49.35103649063635
TIMBÓ,46144,VALE DO ITAJAÍ,MÉDIO VALE DO ITAJAÍ,-26.808191984335508,-49.268848087269895
