Municipio,População,lat,lon
São João do Oeste,6287,-27.091607129863164,-53.59166414663414
São João Batista,32360,-27.3289283421727,-48.859015927042506
São João do Itaperiú,4484,-26.59105248462006,-48.79773346422953
São João do Sul,8642,-29.20556695305148,-49.81346773582506
São Joaquim,26026,-28.298349165873432,-50.01398597874578
São José,287409,-27.57847109713233,-48.65625577254402
São José do Cedro,15100,-26.48085134039229,-53.53373642407425
São José do Cerrito,8708,-27.598271651210737,-50.65026289681241
São Lourenço do Oeste,24774,-26.465488220200026,-52.859772864625924
São Ludgero,13431,-28.353134609105727,-49.16816231413642
São Martinho,3654,-28.124556708734076,-48.97190447556622
São Miguel da Boa Vista,1768,-26.689643491003483,-53.23996170119908
São Miguel do Oeste,43946,-26.727236944731406,-53.51212123092325
São Pedro de Alcântara,5693,-27.591567381186138,-48.837130751483066
Saudades,10272,-26.89720679402398,-53.04001442530173
Schroeder,20213,-26.36795231023243,-49.06045571561801
Seara,18623,-27.147832610525413,-52.34069428230799
Serra Alta,3314,-26.69262092171896,-53.0252384398724
Siderópolis,13862,-28.58327160078786,-49.526695700067904
Sombrio,29503,-29.070190675497283,-49.6559270933593
Sul Brasil,2878,-26.695341808174227,-52.94680043392991
Taió,18282,-27.078455806270693,-50.092434824380845
Tangará,8153,-27.147028474882347,-51.14706907793429
Tigrinhos,2325,-26.676066622551186,-53.15654614606529
Tijucas,49474,-27.247563296595885,-48.70088637061579
Timbé do Sul,5377,-28.8073934512733,-49.86846229280308
Timbó,46144,-26.808191984335508,-49.268848087269895
Timbó Grande,7368,-26.624253499023233,-50.66563354765527
Três Barras,19782,-26.16992128272165,-50.255230158464954
Treviso,3783,-28.499162004094863,-49.489841195227676
Treze de Maio,7354,-28.566224209216447,-49.15419058150752
Treze Tílias,8803,-26.964791254360083,-51.44935440560939
Trombudo Central,7074,-27.312097301154424,-49.81141612505136
Tubarão,114389,-28.48158146246524,-49.03724862155106
Tunápolis,5018,-26.988116577060975,-53.64994894871563
Turvo,12993,-28.903082181075938,-49.70342183732695
União do Oeste,2782,-26.786666327181376,-52.85600990552198
Urubici,11156,-28.038876224405293,-49.57745827407624
Urupema,2719,-28.023654070551256,-49.90088889407842
Urussanga,20915,-28.4926994380424,-49.32827746452854
Vargeão,3585,-26.77869255231926,-52.12417603836292
Vargem,2621,-27.46687704848312,-50.95046385540894
Vargem Bonita,4572,-26.944996335664232,-51.7566311514641
Vidal Ramos,6160,-27.38788245270673,-49.34775257609078
Videira,55921,-27.006590429997193,-51.126791458112294
Vitor Meireles,5362,-26.826433538775674,-49.84520206839082
Witmarsum,4314,-26.937345110004777,-49.84176100206415
Xanxerê,50998,-26.87227935615384,-52.409753977893864
Xavantina,3654,-27.02121446664788,-52.321889849825574
Xaxim,31625,-26.97030880074372,-52.52910542362624
Zortéa,3925,-27.47698781177276,-51.535614862678045
Balneário Rincão,15880,-28.8267399540157,-49.25423722484238
