Semana,Município,Casos
2025-02-02,BARRA VELHA,4
2025-02-02,BALNEÁRIO CAMBORIÚ,1
2025-02-02,CELSO RAMOS,0
2025-02-02,GARUVA,0
2025-02-02,JARDINÓPOLIS,0
2025-02-02,JOAÇABA,0
2025-02-02,CORUPÁ,0
2025-02-02,TIJUCAS,1
2025-02-02,ITAPEMA,16
2025-02-02,CORDILHEIRA ALTA,0
2025-02-02,ARAQUARI,2
2025-02-02,GOVERNADOR CELSO RAMOS,0
2025-02-02,PENHA,0
2025-02-02,RODEIO,0
2025-02-02,SCHROEDER,0
2025-02-02,POMERODE,0
2025-02-02,GUARAMIRIM,0
2025-02-02,ASCURRA,0
2025-02-02,SÃO JOSÉ,6
2025-02-02,BOM JESUS,0
2025-02-02,LAJEADO GRANDE,0
2025-02-02,SÃO FRANCISCO DO SUL,0
2025-02-02,GASPAR,0
2025-02-02,DIONÍSIO CERQUEIRA,0
2025-02-02,SÃO LOURENÇO DO OESTE,0
2025-02-02,MONDAÍ,0
2025-02-02,ITAJAÍ,14
2025-02-02,ITAIÓPOLIS,0
2025-02-02,SÃO LUDGERO,0
2025-02-02,FLORIANÓPOLIS,1
2025-02-09,CAIBI,0
2025-02-09,BENEDITO NOVO,0
2025-02-09,DIONÍSIO CERQUEIRA,0
2025-02-09,CELSO RAMOS,0
2025-02-09,BALNEÁRIO CAMBORIÚ,6
2025-02-09,CUNHA PORÃ,0
2025-02-09,ITAIÓPOLIS,0
2025-02-09,NAVEGANTES,3
2025-02-09,DONA EMMA,0
2025-02-09,SÃO LUDGERO,0
2025-02-09,GASPAR,0
2025-02-09,SÃO BENTO DO SUL,0
2025-02-09,XANXERÊ,0
2025-02-09,ITAPEMA,21
2025-02-09,IPORÃ DO OESTE,0
2025-02-09,POUSO REDONDO,0
2025-02-09,CORDILHEIRA ALTA,0
2025-02-09,DESCANSO,0
2025-02-09,PORTO BELO,0
2025-02-09,FLORIANÓPOLIS,2
2025-02-09,GOVERNADOR CELSO RAMOS,0
2025-02-09,ITÁ,0
2025-02-09,JOAÇABA,0
2025-02-09,CORUPÁ,0
2025-02-09,CAMBORIÚ,0
2025-02-09,RODEIO,0
2025-02-09,SCHROEDER,0
2025-02-09,SANTA HELENA,0
2025-02-09,BIGUAÇU,0
2025-02-09,JARAGUÁ DO SUL,2
2025-02-09,SÃO LOURENÇO DO OESTE,0
2025-02-09,JOINVILLE,19
2025-02-09,CAMPOS NOVOS,0
2025-02-09,PETROLÂNDIA,0
2025-02-09,PALHOÇA,4
2025-02-09,ABELARDO LUZ,1
2025-02-09,BALNEÁRIO PIÇARRAS,1
2025-02-09,SÃO JOSÉ,3
2025-02-09,PALMA SOLA,0
2025-02-09,BALNEÁRIO BARRA DO SUL,0
2025-02-09,PENHA,0
2025-02-09,SEARA,0
2025-02-09,LINDÓIA DO SUL,0
2025-02-09,SÃO FRANCISCO DO SUL,0
2025-02-09,BLUMENAU,5
2025-02-09,SANTO AMARO DA IMPERATRIZ,0
2025-02-09,ITAPOÁ,0
2025-02-09,PALMITOS,0
2025-02-09,ITAJAÍ,10
2025-02-09,CHAPECÓ,0
2025-02-09,PINHALZINHO,1
2025-02-09,IBIRAMA,0
2025-02-09,SÃO JOSÉ DO CEDRO,1
2025-02-09,PORTO UNIÃO,0
2025-02-09,CAPINZAL,1
2025-02-09,SÃO MIGUEL DO OESTE,25
2025-02-09,GUARUJÁ DO SUL,0
2025-02-09,GARUVA,0
2025-02-09,CONCÓRDIA,0
2025-02-09,BARRA VELHA,5
2025-02-09,BOM JESUS,1
2025-02-09,MONDAÍ,0
2025-02-09,GUABIRUBA,0
2025-02-09,ASCURRA,2
2025-02-09,BRUSQUE,0
2025-02-09,TIJUCAS,1
2025-02-09,CAÇADOR,2
2025-02-09,LONTRAS,0
2025-02-09,MARAVILHA,0
2025-02-09,PASSOS MAIA,0
2025-02-09,SÃO CARLOS,0
2025-02-09,JARDINÓPOLIS,0
2025-02-09,GUARAMIRIM,0
2025-02-09,VIDEIRA,4
2025-02-09,LAJEADO GRANDE,0
2025-02-09,ITAPIRANGA,0
2025-02-09,POMERODE,0
2025-02-09,TUBARÃO,0
2025-02-09,BOMBINHAS,3
2025-02-09,RIO DO SUL,0
2025-02-09,IPUAÇU,0
2025-02-09,JAGUARUNA,0
2025-02-09,ARAQUARI,1
2025-02-09,INDAIAL,1
2025-02-16,JAGUARUNA,0
2025-02-16,CAMPOS NOVOS,0
2025-02-16,JOINVILLE,9
2025-02-16,LONTRAS,0
2025-02-16,PETROLÂNDIA,0
2025-02-16,ITAPOÁ,0
2025-02-16,BALNEÁRIO PIÇARRAS,0
2025-02-16,SEARA,0
2025-02-16,SANTO AMARO DA IMPERATRIZ,0
2025-02-16,PALHOÇA,5
2025-02-16,BLUMENAU,0
2025-02-16,IPUAÇU,1
2025-02-16,RIO DO SUL,0
2025-02-16,ABELARDO LUZ,0
2025-02-16,LINDÓIA DO SUL,0
2025-02-16,CAPINZAL,0
2025-02-16,ITAPIRANGA,0
2025-02-16,BALNEÁRIO BARRA DO SUL,0
2025-02-16,CAÇADOR,1
2025-02-16,JARAGUÁ DO SUL,1
2025-02-16,TUBARÃO,0
2025-02-16,BIGUAÇU,0
2025-02-16,SÃO MIGUEL DO OESTE,3
2025-02-16,FLORIANÓPOLIS,1
2025-02-16,POUSO REDONDO,0
2025-02-16,LAJEADO GRANDE,0
2025-02-16,ITAIÓPOLIS,0
